"""ID""",FireSeason,Month,Day,SitReportDate,TotalFires,TotalAcres,HumanFires,HumanAcres,LightningFires,LightningAcres,PrepLevel
2455,2002,8,21,20020821,487,2126269.3,,,,,2
2456,2002,8,22,20020822,488,2126809.3,,,,,2
2457,2002,8,23,20020823,538,2195906.2,,,,,1
2458,2002,8,24,20020824,539,2203132.1,,,,,1
2459,2002,8,26,20020826,540,2203562.1,,,,,1
2460,2002,8,30,20020830,544,2210827.9,,,,,1
2461,2002,8,31,20020831,544,2210827.9,,,,,1
2462,2002,9,2,20020902,544,2191278.9,,,,,1
2463,2002,9,4,20020904,545,2210858,,,,,1
2464,2003,3,14,20030314,30,607.6,,,,,1
2465,2003,3,19,20030319,43,615.5,,,,,1
2466,2003,3,20,20030320,45,615.7,,,,,1
2467,2003,3,21,20030321,45,615.7,,,,,1
2468,2003,3,24,20030324,45,615.7,,,,,1
2469,2003,3,25,20030325,45,615.7,,,,,1
2470,2003,3,26,20030326,46,615.7,,,,,1
2471,2003,3,27,20030327,46,646.3,,,,,1
2472,2003,4,1,20030401,49,650.8,,,,,1
2473,2003,4,7,20030407,50,650.8,,,,,1
2474,2003,4,9,20030409,56,713.7,,,,,1
2475,2003,4,14,20030414,58,713.7,,,,,1
2476,2003,4,15,20030415,59,713.8,,,,,1
2477,2003,4,18,20030418,59,713.8,,,,,1
2478,2003,4,21,20030421,62,715.1,,,,,1
2479,2003,4,23,20030423,62,715.3,,,,,1
2480,2003,4,24,20030424,66,716.3,,,,,1
2481,2003,4,25,20030425,67,716.6,,,,,1
2482,2003,4,28,20030428,75,748,,,,,1
2483,2003,4,29,20030429,82,750.5,,,,,1
2484,2003,4,30,20030430,83,755.1,,,,,1
2485,2003,5,1,20030501,86,755.6,,,,,1
2486,2003,5,2,20030502,92,777.9,,,,,1
2487,2003,5,3,20030503,117,959,,,,,1
2488,2003,5,6,20030506,116,958.8,,,,,1
2489,2003,5,7,20030507,121,959.3,,,,,1
2490,2003,5,8,20030508,129,1123.7,,,,,1
2491,2003,5,9,20030509,134,1124.3,,,,,1
2492,2003,5,12,20030512,144,1127.8,,,,,1
2493,2003,5,13,20030513,143,1128.1,,,,,1
2494,2003,5,14,20030514,145,1128.2,,,,,1
2495,2003,5,15,20030515,148,1128.9,,,,,1
2496,2003,5,16,20030516,150,1135.1,,,,,1
2497,2003,5,19,20030519,161,1154.8,,,,,1
2498,2003,5,20,20030520,165,1161.8,,,,,1
2499,2003,5,21,20030521,168,1162.8,,,,,1
2500,2003,5,22,20030522,171,1240.7,,,,,1
2501,2003,5,23,20030523,174,1241.2,,,,,1
2502,2003,5,24,20030524,177,2744.3,,,,,1
2503,2003,5,25,20030525,182,4248.8,,,,,1
2504,2003,5,26,20030526,185,6181.5,,,,,1
2505,2003,5,27,20030527,189,8103.7,,,,,1
2506,2003,5,28,20030528,195,83560,,,,,1
2507,2003,5,29,20030529,203,9714.2,,,,,2
2508,2003,5,30,20030530,209,10805.7,,,,,2
2509,2003,5,31,20030531,212,10868.8,,,,,2
2510,2003,6,1,20030601,221,12381.4,,,,,2
2511,2003,6,2,20030602,227,13106.5,,,,,2
2512,2003,6,3,20030603,230,14064.7,,,,,2
2513,2003,6,4,20030604,231,14447.8,,,,,2
2514,2003,6,5,20030605,235,14525.3,,,,,2
2515,2003,6,6,20030606,238,14303,,,,,2
2516,2003,6,7,20030607,241,13903.3,,,,,2
2517,2003,6,8,20030608,241,13903.3,,,,,2
2518,2003,6,9,20030609,246,13912.2,,,,,2
2519,2003,6,10,20030610,249,13912.5,,,,,2
2520,2003,6,11,20030611,252,13912.6,,,,,1
2521,2003,6,12,20030612,258,14493.2,,,,,1
2522,2003,6,13,20030613,262,14447.3,,,,,1
2523,2003,6,14,20030614,267,14640.8,,,,,1
2524,2003,6,15,20030615,274,15516.3,,,,,1
2525,2003,6,16,20030616,278,17796.6,,,,,2
2526,2003,6,17,20030617,280,25504.8,,,,,2
2527,2003,6,18,20030618,290,40580.7,,,,,3
2528,2003,6,19,20030619,299,40735.5,,,,,3
2529,2003,6,20,20030620,302,46575.6,,,,,2
2530,2003,6,21,20030621,310,61100.2,,,,,2
2531,2003,6,22,20030622,311,76760.4,,,,,2
2532,2003,6,23,20030623,316,110995.8,,,,,2
2533,2003,6,24,20030624,325,134691,,,,,2
2534,2003,6,25,20030625,332,150256.1,,,,,2
2535,2003,6,27,20030627,346,197038.1,,,,,2
2536,2003,6,28,20030628,350,204137.8,,,,,2
2537,2003,6,29,20030629,351,205138.3,,,,,2
2538,2003,6,30,20030630,356,206640.4,,,,,2
2539,2003,7,1,20030701,362,219548.7,,,,,2
2540,2003,7,3,20030703,365,254849.9,,,,,1
2541,2003,7,4,20030704,366,262598,,,,,1
2542,2003,7,5,20030705,368,262598.2,,,,,1
2543,2003,7,6,20030706,370,262599.1,,,,,1
2544,2003,7,7,20030707,370,292599.1,,,,,1
2545,2003,7,8,20030708,371,299302.3,,,,,1
2546,2003,7,9,20030709,370,302353.2,,,,,1
2547,2003,7,10,20030710,374,325028.6,,,,,1
2548,2003,7,11,20030711,374,325028.6,,,,,1
2549,2003,7,12,20030712,375,328702.6,,,,,1
2550,2003,7,13,20030713,378,329832.8,,,,,1
2551,2003,7,14,20030714,381,329833.1,,,,,1
2552,2003,7,15,20030715,381,330433.1,,,,,1
2553,2003,7,16,20030716,382,330436.1,,,,,1
2554,2003,7,17,20030717,385,350533.4,,,,,1
2555,2003,7,18,20030718,386,352681.6,,,,,1
2556,2003,7,19,20030719,389,353497.6,,,,,1
2557,2003,7,20,20030720,391,354031.8,,,,,1
2558,2003,7,21,20030721,396,374433.5,,,,,1
2559,2003,7,22,20030722,398,398802,,,,,1
2560,2003,7,24,20030724,404,469184.3,,,,,1
2561,2003,7,25,20030725,403,472885.4,,,,,1
2562,2003,7,26,20030726,404,472885.6,,,,,1
2563,2003,7,27,20030727,404,472885.6,,,,,1
2564,2003,7,28,20030728,404,472999.6,,,,,1
2565,2003,7,29,20030729,406,473135.7,,,,,1
2566,2003,7,30,20030730,408,486639.8,,,,,1
2567,2003,7,31,20030731,408,486790.3,,,,,1
2568,2003,8,1,20030801,409,487132.6,,,,,1
2569,2003,8,2,20030802,409,487133.6,,,,,1
2570,2003,8,3,20030803,410,487133.7,,,,,1
2571,2003,8,4,20030804,410,487133.7,,,,,1
2572,2003,8,5,20030805,413,487133.9,,,,,1
2573,2003,8,6,20030806,415,487584.2,,,,,1
2574,2003,8,7,20030807,416,487584.2,,,,,1
2575,2003,8,8,20030808,417,510319.4,,,,,1
2576,2003,8,9,20030809,417,511378.4,,,,,1
2577,2003,8,10,20030810,423,512351.9,,,,,1
2578,2003,8,11,20030811,425,512451.1,,,,,1
2579,2003,8,12,20030812,426,547261.2,,,,,1
2580,2003,8,13,20030813,427,547277.3,,,,,1
2581,2003,8,14,20030814,429,548368.3,,,,,1
2582,2003,8,15,20030815,429,550260.6,,,,,1
2583,2003,8,16,20030816,430,561574.6,,,,,1
2584,2003,8,17,20030817,431,563073.7,,,,,1
2585,2003,8,18,20030818,431,567357.7,,,,,1
2586,2003,8,19,20030819,432,568294.5,,,,,1
2587,2003,8,20,20030820,433,568294.6,,,,,1
2588,2003,8,21,20030821,434,572082,,,,,1
2589,2003,8,22,20030822,434,572082,,,,,1
2590,2003,8,23,20030823,436,572082.2,,,,,1
2591,2003,8,26,20030824,437,572082.3,,,,,1
2592,2003,8,29,20030829,441,572083.5,,,,,1
2593,2003,9,2,20030902,442,572084.1,,,,,1
2594,2003,9,3,20030903,443,561001,,,,,1
2595,2003,9,4,20030904,443,562201,,,,,1
2596,2003,9,5,20030905,443,562201,,,,,1
2597,2003,9,9,20030909,444,610215,,,,,1
2598,2003,9,12,20030912,444,617965.5,,,,,1
2599,2003,9,18,20030918,450,617966.3,,,,,1
2600,2003,9,19,20030919,451,617966.4,,,,,1
2601,2003,10,2,20031002,461,618074.5,,,,,1
2602,2003,10,6,20031006,465,618133.1,,,,,
2245,2004,4,27,20040427,9,27.4,,,,,1
2246,2004,4,28,20040428,11,27.6,,,,,1
2247,2004,4,30,20040430,12,27.7,,,,,1
2248,2004,5,3,20040503,20,30.3,,,,,1
2249,2004,5,4,20040504,27,32.2,,,,,1
2250,2004,5,5,20040505,33,43.5,,,,,1
2251,2004,5,6,20040506,36,44.9,,,,,1
2252,2004,5,7,20040507,40,47.3,,,,,1
2253,2004,5,8,20040508,45,49.7,,,,,1
2254,2004,5,10,20040510,53,53.3,,,,,1
2255,2004,5,11,20040511,54,53.4,,,,,1
2256,2004,5,12,20040512,54,53.4,,,,,1
2257,2004,5,13,20040513,56,53.9,,,,,1
2258,2004,5,14,20040514,57,54.1,,,,,1
2259,2004,5,15,20040515,71,84.2,,,,,1
2260,2004,5,17,20040517,77,142.7,,,,,1
2261,2004,5,18,20040518,79,142.8,,,,,1
2262,2004,5,19,20040519,81,143.1,,,,,1
2263,2004,5,20,20040520,82,143.1,,,,,1
2264,2004,5,21,20040521,89,145.4,,,,,1
2265,2004,5,22,20040522,80,218.6,,,,,1
2266,2004,5,23,20040523,83,219.8,,,,,1
2267,2004,5,24,20040524,86,220.2,,,,,1
2268,2004,5,25,20040525,86,220.1,,,,,1
2269,2004,5,26,20040526,86,220.1,,,,,1
2270,2004,5,27,20040527,89,223,,,,,1
2271,2004,5,28,20040528,90,223,,,,,1
2272,2004,5,29,20040529,90,214.1,,,,,1
2273,2004,5,30,20040530,91,221.5,,,,,1
2274,2004,5,31,20040531,93,221.5,,,,,1
2275,2004,6,1,20040601,115,277.5,,,,,1
2276,2004,6,2,20040602,120,584.6,,,,,1
2277,2004,6,3,20040603,122,597.6,,,,,1
2278,2004,6,4,20040604,123,5317.8,,,,,1
2279,2004,6,5,20040605,131,6097.1,,,,,1
2280,2004,6,6,20040606,132,8554.8,,,,,1
2281,2004,6,7,20040607,137,9507.2,,,,,1
2282,2004,6,8,20040608,146,12242.9,,,,,1
2283,2004,6,9,20040609,149,12926.1,,,,,1
2284,2004,6,10,20040610,155,12938.9,,,,,1
2285,2004,6,11,20040611,160,15767.1,,,,,1
2286,2004,6,12,20040612,168,22381.1,,,,,1
2287,2004,6,13,20040613,182,22629.9,,,,,1
2288,2004,6,14,20040614,195,23726,,,,,1
1617,2004,6,15,20040615,228,25342.7,,,,,1
1618,2004,6,16,20040616,244,29654.5,,,,,1
1619,2004,6,17,20040617,251,42414.7,,,,,1
1620,2004,6,18,20040618,260,53882.9,,,,,2
1621,2004,6,19,20040619,263,91834.8,,,,,2
1622,2004,6,20,20040620,265,122623.9,,,,,2
1623,2004,6,21,20040621,278,144298.6,,,,,2
1624,2004,6,22,20040622,290,183205,,,,,2
1625,2004,6,23,20040623,294,280302.6,,,,,3
1626,2004,6,24,20040624,298,350654.3,167,,131,,3
1627,2004,6,25,20040625,306,378996.3,174,,132,,3
1628,2004,6,26,20040626,312,430013.4,179,,133,,3
1629,2004,6,27,20040627,318,625664.5,181,,138,,3
1630,2004,6,28,20040628,320,813258.5,183,,138,,3
1631,2004,6,29,20040629,327,838816.9,186,,141,,3
1632,2004,6,30,20040630,330,977902.9,186,,144,,4
1633,2004,7,1,20040701,331,1153535.4,186,,145,,4
1634,2004,7,2,20040702,334,1245682.6,188,,145,,4
1635,2004,7,3,20040703,337,1727432.8,191,,145,,4
1636,2004,7,4,20040704,342,1841437.1,193,,149,,4
1637,2004,7,5,20040705,352,2031595.2,197,,154,,4
1638,2004,7,6,20040706,357,2082225.6,197,,154,,4
1639,2004,7,7,20040707,363,2123439.8,204,,159,,4
1640,2004,7,8,20040708,372,2184838.7,209,,163,,4
1641,2004,7,9,20040709,375,2240952.5,210,,165,,4
1642,2004,7,10,20040710,382,2357430.3,217,,165,,4
1643,2004,7,11,20040711,387,2383036.7,225,,167,,4
1644,2004,7,12,20040712,397,2586353.4,,,,,4
1645,2004,7,13,20040713,397,2586353.4,,,,,4
1646,2004,7,14,20040714,407,2891672.1,237,,170,,4
1647,2004,7,15,20040715,413,3137218.4,243,,170,,5
1648,2004,7,16,20040716,426,3237368.6,253,,173,,5
1649,2004,7,17,20040717,448,3364468.6,358,,189,,5
1650,2004,7,18,20040718,455,3502994,248,,206,,5
1651,2004,7,19,20040719,459,3581901.5,249,,209,,5
1652,2004,7,20,20040720,469,3601521.1,253,,216,,5
1653,2004,7,21,20040721,469,3601521.1,253,,216,,5
1654,2004,7,22,20040722,489,3935142.3,261,,226,,5
1655,2004,7,23,20040723,492,3970904.4,259,,231,,5
1656,2004,7,24,20040724,493,4040666.4,260,,231,,4
1657,2004,7,25,20040725,495,4094258.7,261,,232,,4
1658,2004,7,26,20040726,505,4184589.7,265,,236,,4
1659,2004,7,27,20040727,511,4456305,269,,242,,4
1660,2004,7,28,20040728,513,4478557.1,271,,242,,3
1661,2004,7,29,20040729,517,4505080.6,271,,242,,3
1662,2004,7,30,20040730,518,4506725.7,272,,242,,3
1663,2004,7,31,20040731,518,4483646.7,271,,242,,3
1664,2004,8,1,20040801,518,4370016.6,271,,242,,3
1665,2004,8,2,20040802,520,4484593.8,273,,242,,3
1666,2004,8,3,20040803,522,4491539,275,,242,,2
1667,2004,8,4,20040804,523,4499229.1,276,,242,,2
1668,2004,8,5,20040805,525,4504999.2,280,,245,,2
1669,2004,8,6,20040806,527,4511336.5,281,,245,,2
1670,2004,8,7,20040807,530,4510546.9,284,,245,,2
1671,2004,8,8,20040808,532,4527834.1,287,,245,,2
1672,2004,8,9,20040809,538,4537754,292,,246,,2
1673,2004,8,10,20040810,546,4569757.7,299,,247,,3
1674,2004,8,11,20040811,548,4690235.9,301,,247,,3
1675,2004,8,12,20040812,551,4728145.1,303,,248,,3
1676,2004,8,13,20040813,558,4784328.2,304,,254,,3
1677,2004,8,14,20040814,563,4883004.6,308,,255,,3
1678,2004,8,15,20040815,587,4934830.6,332,,255,,3
1679,2004,8,16,20040816,590,4990865.7,335,,255,,3
1680,2004,8,18,20040818,602,5053013.4,347,,255,,3
1681,2004,8,19,20040819,607,5066092.9,352,,255,,3
1682,2004,8,20,20040820,607,5100158.9,352,,255,,3
1683,2004,8,21,20040821,611,5244729.3,356,,255,,3
1684,2004,8,22,20040822,611,5350951.4,356,,255,,3
1685,2004,8,23,20040823,616,5478069.3,360,,255,,3
1686,2004,8,24,20040824,633,5516052.8,381,,252,,3
1687,2004,8,25,20040825,636,5519291.4,384,,253,,3
1688,2004,8,26,20040826,640,5597389.4,385,,256,,3
1689,2004,8,27,20040827,640,5667982.4,384,,256,,3
1690,2004,8,28,20040828,640,5804050.4,384,,256,,3
1691,2004,8,29,20040829,642,5957881.6,384,,256,,3
1692,2004,8,30,20040830,644,6065182.8,388,,256,,3
1693,2004,8,31,20040831,646,6205418.1,390,,256,,3
1694,2004,9,1,20040901,645,6280451,389,,256,,3
1695,2004,9,2,20040902,645,6297457.3,389,,256,,3
1696,2004,9,3,20040903,648,6378692.7,391,,257,,3
1697,2004,9,4,20040904,649,6400187.6,392,,257,,3
1698,2004,9,5,20040905,650,6414949.1,393,,257,,3
1699,2004,9,6,20040906,652,6424805.1,394,,258,,3
1700,2004,9,7,20040907,652,6414070.1,394,,258,,2
1701,2004,9,8,20040908,655,6385496.1,397,,258,,2
1702,2004,9,9,20040909,657,6443098.1,399,,258,,2
1703,2004,9,10,20040910,659,6443714.7,401,,258,,2
1704,2004,9,11,20040911,665,6444892.6,406,,259,,2
1705,2004,9,12,20040912,668,6444896,409,,259,,2
1706,2004,9,13,20040913,669,6444896.2,410,,259,,2
1707,2004,9,14,20040914,669,6444901.7,411,,259,,2
1708,2004,9,15,20040915,670,6444901.7,411,,259,,1
1709,2004,9,16,20040916,673,6439946.4,414,,259,,1
1710,2004,9,17,20040917,673,6439397.4,414,,259,,1
1711,2004,9,18,20040918,675,6452727.5,417,,259,,1
1712,2004,9,20,20040920,678,6452962.9,419,,259,,1
1713,2004,9,21,20040921,679,6458563,420,,259,,1
1714,2004,9,22,20040922,680,6465039.1,421,,259,,1
1715,2004,9,23,20040923,680,6465704.6,421,,259,,1
1716,2004,9,24,20040924,680,6461006.8,421,,259,,1
1717,2004,9,27,20040927,680,6460055.3,421,,259,,1
1718,2004,9,28,20040928,681,6460401.7,421,,259,,1
1719,2004,9,29,20040929,681,6460402.7,421,,259,,1
1720,2004,9,30,20040930,681,6459975.7,421,,259,,1
1721,2004,10,1,20041001,681,6459975.7,421,,259,,1
1722,2004,10,4,20041004,681,6459975.7,421,,259,,1
1723,2004,10,5,20041005,681,6460594,421,,259,,1
1724,2004,10,6,20041006,681,6460811,421,,259,,1
1725,2004,10,8,20041008,683,6507524.5,424,,259,,1
1726,2004,10,13,20041013,686,6512760.2,424,,259,,1
1727,2004,10,14,20041014,706,6517612.1,424,,259,,1
1728,2004,10,15,20041015,706,6584117.8,424,,259,,1
1729,2004,10,20,20041020,706,6632945.6,424,,259,,1
1730,2004,10,22,20041022,708,6724146.6,424,,259,,1
1731,2004,10,26,20041026,708,6713247.5,424,,272,,1
1732,2004,10,28,20041028,708,6721722.2,424,,272,,1
1733,2004,12,2,20041202,706,6699023.1,434,,272,,1
1788,2005,4,18,20050418,2,0,,,,,0
1789,2005,4,26,20050426,6,2.9,,,,,0
1790,2005,4,27,20050427,12,43.5,,,,,1
1791,2005,4,28,20050428,16,44.5,,,,,1
1792,2005,4,29,20050429,25,59.5,,,,,1
1793,2005,5,1,20050501,39,1258,,,,,2
1794,2005,5,2,20050502,46,3781.3,,,,,2
1795,2005,5,3,20050503,53,4527.6,,,,,2
1796,2005,5,4,20050504,55,5386.3,,,,,2
1797,2005,5,5,20050505,59,5394.1,,,,,2
1798,2005,5,7,20050507,68,5936.3,,,,,1
1799,2005,5,8,20050508,73,5941.6,,,,,1
1800,2005,5,9,20050509,79,5959.2,,,,,1
1801,2005,5,10,20050510,91,6736.4,,,,,1
1802,2005,5,11,20050511,92,6345.2,,,,,1
1803,2005,5,12,20050512,96,6770.3,,,,,1
1804,2005,5,13,20050513,98,7525,,,,,1
1805,2005,5,14,20050514,101,8048.2,,,,,2
1806,2005,5,15,20050515,109,8403.7,,,,,2
1807,2005,5,16,20050516,110,8404.2,,,,,2
1808,2005,5,17,20050517,112,8212.3,,,,,2
1809,2005,5,18,20050518,112,8212.3,,,,,1
1810,2005,5,19,20050519,112,8212.4,,,,,1
1811,2005,5,20,20050520,113,8212.9,,,,,1
1812,2005,5,21,20050521,119,8259.2,,,,,1
1813,2005,5,22,20050522,120,8259.3,,,,,1
1814,2005,5,23,20050523,122,8241.7,,,,,1
1815,2005,5,24,20050524,135,8248.5,,,,,1
1816,2005,5,25,20050525,138,8272.1,,,,,1
1817,2005,5,26,20050526,142,8293.1,,,,,1
1818,2005,5,27,20050527,143,8294.3,,,,,1
1819,2005,5,28,20050528,148,8541.1,,,,,1
1820,2005,5,29,20050529,151,8812.6,,,,,1
1821,2005,5,30,20050530,165,9935.4,,,,,1
1822,2005,5,31,20050531,171,12018.1,,,,,1
1823,2005,6,1,20050601,172,19150.2,,,,,1
1824,2005,6,2,20050602,172,20170.3,,,,,1
1825,2005,6,3,20050603,175,21567.7,,,,,1
1826,2005,6,4,20050604,175,23116.2,,,,,1
1827,2005,6,5,20050605,177,23982.6,,,,,1
1828,2005,6,6,20050606,177,23982.7,,,,,1
1829,2005,6,7,20050607,179,23983.3,,,,,1
1830,2005,6,8,20050608,179,23983.3,,,,,1
1831,2005,6,9,20050609,180,23983.3,,,,,1
1832,2005,6,10,20050610,182,24805.6,,,,,1
1833,2005,6,11,20050611,184,25111.8,,,,,1
1834,2005,6,12,20050612,207,31077,,,,,1
1835,2005,6,13,20050613,217,34984.6,,,,,1
1836,2005,6,14,20050614,222,38753.1,,,,,1
1837,2005,6,15,20050615,235,46088.6,,,,,2
1838,2005,6,16,20050616,253,68194.6,,,,,2
1839,2005,6,17,20050617,280,71612.4,,,,,2
1840,2005,6,18,20050618,299,100269.3,,,,,2
1841,2005,6,19,20050619,314,147759,,,,,2
1842,2005,6,20,20050620,314,225743.7,,,,,2
1843,2005,6,21,20050621,318,243711.7,,,,,2
1844,2005,6,22,20050622,318,265003,,,,,2
1845,2005,6,23,20050623,310,309451.9,,,,,2
1846,2005,6,24,20050624,321,325425,,,,,2
1847,2005,6,25,20050625,326,365660.5,,,,,2
1848,2005,6,26,20050626,328,430794.1,,,,,2
1849,2005,6,27,20050627,336,442847.9,,,,,2
1850,2005,6,28,20050628,345,449703.6,,,,,3
1851,2005,6,29,20050629,358,497310.6,,,,,3
1852,2005,6,30,20050630,369,522635.4,,,,,3
1853,2005,7,1,20050701,375,596845.8,,,,,3
1854,2005,7,2,20050702,397,691884,,,,,3
1855,2005,7,3,20050703,380,805045.1,,,,,3
1856,2005,7,4,20050704,389,863599.3,,,,,3
1857,2005,7,5,20050705,391,961047.2,,,,,2
1858,2005,7,6,20050706,392,965024.2,,,,,2
1859,2005,7,7,20050707,401,1033578,,,,,2
1860,2005,7,8,20050708,406,1062392.6,,,,,2
1861,2005,7,9,20050709,417,1070329.5,,,,,2
1862,2005,7,10,20050710,426,1089106,,,,,2
1863,2005,7,11,20050711,430,1092860.4,,,,,1
1864,2005,7,13,20050713,439,1170456.4,,,,,1
1865,2005,7,14,20050714,442,1185443.9,,,,,1
1866,2005,7,15,20050715,465,1196704.1,,,,,1
1867,2005,7,16,20050716,466,1205074.4,,,,,1
1868,2005,7,17,20050717,470,1260587.8,,,,,1
1869,2005,7,18,20050718,473,1271789.5,,,,,2
1870,2005,7,19,20050719,475,1277813.6,,,,,2
1871,2005,7,20,20050720,477,1268754.1,,,,,2
1872,2005,7,21,20050721,479,1277091.7,,,,,2
1873,2005,7,22,20050722,481,1282742.5,,,,,2
1874,2005,7,23,20050723,484,1288659.7,,,,,2
1875,2005,7,24,20050724,486,1315420.7,,,,,2
1876,2005,7,25,20050725,491,1371672.4,,,,,2
1877,2005,7,26,20050726,503,1414391,,,,,2
1878,2005,7,27,20050727,513,1424155.5,,,,,2
1879,2005,7,28,20050728,521,1502891.1,,,,,2
